date,region,ias_regional
2023-11-01,Auvergne-Rhône-Alpes,0.2425
2023-11-01,Bourgogne-Franche-Comté,0.055
2023-11-01,Bretagne,0.41
2023-11-01,Centre-Val de Loire,0.08
2023-11-01,Corse,9.695
2023-11-01,Grand Est,0.44
2023-11-01,Hauts-de-France,0.07500000000000001
2023-11-01,Normandie,0.04
2023-11-01,Nouvelle-Aquitaine,0.13
2023-11-01,Occitanie,0.11000000000000001
2023-11-01,Pays de la Loire,0.125
2023-11-01,Provence-Alpes-Côte d'Azur,0.11
2023-11-01,Île-de-France,0.03
2023-11-02,Auvergne-Rhône-Alpes,0.26
2023-11-02,Bourgogne-Franche-Comté,0.060000000000000005
2023-11-02,Bretagne,0.41
2023-11-02,Centre-Val de Loire,0.08
2023-11-02,Corse,11.005
2023-11-02,Grand Est,0.4466666666666666
2023-11-02,Hauts-de-France,0.10500000000000001
2023-11-02,Normandie,0.04
2023-11-02,Nouvelle-Aquitaine,0.12
2023-11-02,Occitanie,0.125
2023-11-02,Pays de la Loire,0.13
2023-11-02,Provence-Alpes-Côte d'Azur,0.18
2023-11-02,Île-de-France,0.03
2023-11-03,Auvergne-Rhône-Alpes,0.275
2023-11-03,Bourgogne-Franche-Comté,0.085
2023-11-03,Bretagne,0.4
2023-11-03,Centre-Val de Loire,0.1
2023-11-03,Corse,16.825
2023-11-03,Grand Est,0.425
2023-11-03,Hauts-de-France,0.15000000000000002
2023-11-03,Normandie,0.035
2023-11-03,Nouvelle-Aquitaine,0.14
2023-11-03,Occitanie,0.14500000000000002
2023-11-03,Pays de la Loire,0.15
2023-11-03,Provence-Alpes-Côte d'Azur,0.24
2023-11-03,Île-de-France,0.03
2023-11-04,Auvergne-Rhône-Alpes,0.3025
2023-11-04,Bourgogne-Franche-Comté,0.11499999999999999
2023-11-04,Bretagne,0.41
2023-11-04,Centre-Val de Loire,0.11
2023-11-04,Corse,25.28
2023-11-04,Grand Est,0.38000000000000006
2023-11-04,Hauts-de-France,0.2
2023-11-04,Normandie,0.0325
2023-11-04,Nouvelle-Aquitaine,0.17333333333333334
2023-11-04,Occitanie,0.195
2023-11-04,Pays de la Loire,0.17
2023-11-04,Provence-Alpes-Côte d'Azur,0.28
2023-11-04,Île-de-France,0.03
2023-11-05,Auvergne-Rhône-Alpes,0.32
2023-11-05,Bourgogne-Franche-Comté,0.15000000000000002
2023-11-05,Bretagne,0.42
2023-11-05,Centre-Val de Loire,0.13
2023-11-05,Corse,29.995
2023-11-05,Grand Est,0.33666666666666667
2023-11-05,Hauts-de-France,0.255
