"PERIODE";"IAS_brut";"IAS_lissé";"Incidence_Sentinelles"
2018-05-01;83,6;1,2;0,7
2018-05-02;0,9;1,2;0,7
2018-05-03;0,8;1,2;0,7
2018-05-04;2,4;1,2;0,7
2018-05-05;1,4;1,2;0,7
2018-05-06;7;1,2;0,7
2018-05-07;0,6;1,2;0,3
2018-05-08;1,8;1,2;0,3
2018-05-09;1,8;1,2;0,3
2018-05-10;48,8;1,1;0,3
2018-05-11;0,8;1,1;0,3
2018-05-12;0,9;1,2;0,3
2018-05-13;56,4;1,3;0,3
2018-05-14;0,9;1,3;0,6
2018-05-15;0,7;1,4;0,6
2018-05-16;3,1;1,5;0,6
2018-05-17;2,3;1,6;0,6
2018-05-18;2,8;1,7;0,6
2018-05-19;0,5;1,7;0,6
2018-05-20;82,3;1,8;0,6
2018-05-21;15;1,7;0,6
2018-05-22;1,5;1,7;0,6
2018-05-23;1,9;1,6;0,6
2018-05-24;1,8;1,5;0,6
2018-05-25;1,3;1,4;0,6
2018-05-26;1;1,4;0,6
2018-05-27;66,3;1,3;0,6
2018-05-28;1,1;1,3;1
2018-05-29;0,9;1,3;1
2018-05-30;1,4;1,4;1
2018-05-31;1,4;1,5;1
2018-06-01;1,7;1,6;1
2018-06-02;1,4;1,8;1
2018-06-03;14,9;2;1
2018-06-04;2,9;2,2;0,3
2018-06-05;2,4;2,3;0,3
2018-06-06;3,1;2,3;0,3
2018-06-07;1,8;2,3;0,3
2018-06-08;2,6;2,3;0,3
2018-06-09;1,1;2,2;0,3
2018-06-10;16,2;2,1;0,3
2018-06-11;3,1;2;0,7
2018-06-12;1,8;2;0,7
2018-06-13;1;2;0,7
2018-06-14;1,4;2;0,7
2018-06-15;2,3;2;0,7
2018-06-16;4,5;2;0,7
2018-06-17;21,8;1,9;0,7
2018-06-18;1,8;1,9;1
2018-06-19;2;1,8;1
2018-06-20;0,8;1,7;1
2018-06-21;2,2;1,6;1
2018-06-22;1,9;1,6;1
2018-06-23;0,6;1,5;1
2018-06-24;135,2;1,5;1
2018-06-25;1,8;1,4;0,9
2018-06-26;1,1;1,4;0,9
2018-06-27;1,8;1,3;0,9
2018-06-28;1,8;1,3;0,9
2018-06-29;1,2;1,2;0,9
2018-06-30;0,3;1,2;0,9
2018-07-01;26,6;1,2;0,9
2018-07-02;1,5;1,1;0,7
2018-07-03;0,8;1,1;0,7
2018-07-04;1,5;1,1;0,7
2018-07-05;1,1;1,1;0,7
2018-07-06;2,1;1;0,7
2018-07-07;0,2;1;0,7
2018-07-08;5,9;1;0,7
2018-07-09;0,8;1;0,4
2018-07-10;0,8;1,1;0,4
2018-07-11;0,9;1,1;0,4
2018-07-12;2,3;1,2;0,4
2018-07-13;1,1;1,2;0,4
2018-07-14;86,5;1,3;0,4
2018-07-15;79;1,3;0,4
2018-07-16;0,8;1,3;0,4
2018-07-17;1,9;1,3;0,4
2018-07-18;0,6;1,3;0,4
2018-07-19;2,7;1,3;0,4
2018-07-20;0,8;1,2;0,4
2018-07-21;0,9;1,2;0,4
2018-07-22;22,6;1,1;0,4
