"PERIODE";"Senti";"Sais_2022_2023";"Sais_2021_2022";"Sais_2020_2021";"Sais_2019_2020";"Sais_2018_2019";"Sais_2017_2018";"Loc_Reg11";"Loc_Reg21";"Loc_Reg22";"Loc_Reg23";"Loc_Reg24";"Loc_Reg25";"Loc_Reg26";"Loc_Reg31";"Loc_Reg41";"Loc_Reg42";"Loc_Reg43";"Loc_Reg52";"Loc_Reg53";"Loc_Reg54";"Loc_Reg72";"Loc_Reg73";"Loc_Reg74";"Loc_Reg82";"Loc_Reg83";"Loc_Reg91";"Loc_Reg93";"Loc_Reg94";"MIN_Saison";"MAX_Saison";"IN_Def";"IN_Temp";"Sais_2007_2008";"Sais_2008_2009"
"01-11-2023";NA;5,97660323008801;8,37521415475661;25,5009949916627;3,36667578709946;3,36133584500276;NA;0,03;0,07;0,08;0,03;0,08;0,05;0,09;0,07;0,33;0,92;0,02;0,125;0,41;0,03;0,06;0,14;0,3;0,205;0,28;0,08;0,11;9,695;3,36133584500276;25,5009949916627;0,100785499837488;NA;NA;NA
"02-11-2023";NA;5,65822267495676;9,33417276587901;26,4935416574474;3,33647770710565;3,48539706562616;NA;0,03;0,08;0,11;0,03;0,08;0,05;0,1;0,1;0,31;0,95;0,02;0,13;0,41;0,04;0,07;0,15;0,25;0,21;0,31;0,1;0,18;11,005;3,33647770710565;26,4935416574474;0,108759503719675;NA;NA;NA
"03-11-2023";NA;5,10824873070614;10,4236438545285;27,2492828069852;3,34524438590663;3,62343705180054;NA;0,03;0,09;0,16;0,03;0,1;0,04;0,14;0,14;0,27;0,915;0,03;0,15;0,4;0,05;0,11;0,16;0,26;0,2;0,35;0,13;0,24;16,825;3,34524438590663;27,2492828069852;0,120702918250266;NA;NA;NA
"04-11-2023";NA;4,49127621962519;11,3706847194188;27,2601069639121;3,4140736742872;3,75127157423187;NA;0,03;0,09;0,22;0,03;0,11;0,035;0,18;0,18;0,245;0,805;0,05;0,17;0,41;0,06;0,14;0,22;0,32;0,205;0,4;0,17;0,28;25,28;3,4140736742872;27,2601069639121;0,133313952769128;NA;NA;NA
"05-11-2023";NA;3,99128467487126;11,9379304885182;26,3674234425375;3,54131337798871;3,84026913916677;NA;0,03;0,1;0,29;0,04;0,13;0,03;0,23;0,22;0,22;0,69;0,07;0,18;0,42;0,07;0,15;0,31;0,39;0,19;0,45;0,225;0,25;29,995;3,54131337798871;26,3674234425375;0,144382216347999;NA;NA;NA
"06-11-2023";NA;3,62403901276002;12,1249660458289;24,9337657586535;3,73017681323372;3,89816114910302;NA;0,04;0,11;0,39;0,05;0,15;0,03;0,3;0,25;0,18;0,6;0,1;0,17;0,43;0,07;0,19;0,44;0,49;0,18;0,48;0,27;0,21;28,77;3,62403901276002;24,9337657586535;0,152929939795062;NA;NA;NA
"07-11-2023";NA;3,36575970346141;12,0857799476955;23,2350345702778;3,96698622014057;3,92186292143694;NA;0,04;0,12;0,52;0,07;0,18;0,04;0,33;0,27;0,165;0,53;0,13;0,15;0,47;0,07;0,21;0,55;0,6;0,16;0,49;0,32;0,18;21,535;3,36575970346141;23,2350345702778;0,159329798979441;NA;NA;NA
"08-11-2023";NA;3,21446569908539;11,9553992476931;21,4429363194331;4,24113489606679;3,93922845451348;NA;0,04;0,13;0,71;0,075;0,21;0,04;0,34;0,27;0,15;0,455;0,16;0,13;0,54;0,07;0,23;0,72;0,71;0,14;0,48;0,325;0,15;15,715;3,21446569908539;21,4429363194331;0,164098719059554;NA;NA;NA
"09-11-2023";NA;3,18112645248284;11,6886121235662;19,8454461053666;4,57123559139304;3,97636621523961;NA;0,03;0,135;0,92;0,08;0,25;0,04;0,33;0,27;0,15;0,365;0,17;0,11;0,585;0,07;0,24;0,8;0,79;0,15;0,46;0,265;0,15;15,92;3,18112645248284;19,8454461053666;0,164602662044687;NA;NA;NA
"10-11-2023";NA;3,24824303988557;11,3814019986776;18,5213300012229;4,91818537957992;4,01078428061331;NA;0,03;0,13;0,98;0,085;0,25;0,04;0,3;0,24;0,16;0,295;0,16;0,09;0,505;0,08;0,24;0,73;0,78;0,19;0,43;0,2;0,11;28,755;3,24824303988557;18,5213300012229;0,160658878482615;NA;NA;NA
