feature,importance
urgences_ma_2,2414752852.615114
urgences_ma_4,779987818.9930267
urgences_lag_1,709031769.8288383
week_of_year,71282220.11660767
urgences_std_8,69978141.02997589
taux_ias_min,32370161.606140137
urgences_std_2,28252103.56533909
urgences_std_4,17470043.67685318
urgences_lag_2,15648851.788446426
urgences_ma_8,13841661.185642242
urgences_std_16,13743457.348999023
urgences_lag_4,10266510.839666367
urgences_ma_12,8141259.676370621
year,7592599.896362305
week_cos,7245445.57019043
urgences_lag_3,6436184.32094574
urgences_lag_8,6283749.75507164
taux_ias_max,5711207.801269531
urgences_ma_16,5240983.9114151
urgences_lag_12,5080923.436645508
urgences_std_12,3727729.816177368
vacc_65_plus,3244104.306365967
month,1931087.8275146484
vacc_moins_65_risque,1692118.8372602463
vacc_total,1050460.2815246582
week_sin,892963.3148193359
region_encoded,873402.7410964966
month_sin,679370.2709960938
month_cos,40250.57107543945
urgences_lag_16,9269.693033218384
taux_ias_std,0.0
saison_encoded,0.0
vacc_65_74,0.0
vacc_75_plus,0.0
is_epidemic_season,0.0
